Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
INPP5K,576,638,538,784,876,331,668,829,643,704,597
INPPL1,2913,2327,2413,2911,2630,1470,3510,2404,3007,2598,2641
INS,0,0,0,0,0,0,0,0,0,0,0
INS-IGF2,19,0,13,13,0,0,3,10,8,115,14
INSC,0,4,4,1,0,0,0,22,0,8,4
INSIG1,117,172,137,181,370,94,278,296,141,357,115
INSIG2,166,189,140,192,142,82,316,220,162,162,169
INSL3,0,0,0,1,0,0,0,0,0,0,0
INSL4,0,0,0,0,0,0,0,0,0,0,0
INSL5,0,0,0,0,0,0,0,0,0,0,0
INSL6,0,0,0,0,0,0,0,0,0,0,0
INSM1,0,2,0,0,0,0,0,0,0,2,0
INSM2,0,0,0,0,0,0,0,0,0,0,0
INSR,1028,974,943,1549,912,491,875,1447,786,817,776
INSRR,1,1,2,1,0,1,0,3,0,3,0
INTS1,1717,1664,2063,2309,1652,946,2593,1930,2071,1697,1925
INTS10,245,280,277,279,224,165,412,362,268,324,236
INTS12,220,269,259,219,329,146,329,377,243,294,201
INTS2,74,70,57,134,73,37,111,89,51,63,76
INTS3,459,495,414,681,502,308,727,819,595,599,776
INTS4,116,182,179,230,123,82,139,248,152,195,160
INTS4P2,0,2,4,2,0,0,0,5,1,0,0
INTS5,228,199,161,229,161,102,212,325,218,182,203
INTS6,161,124,154,312,161,95,210,234,188,116,148
INTS6-AS1,5,15,7,6,4,2,13,12,3,7,2
INTS7,89,113,132,106,110,56,196,129,110,117,125
INTS8,287,223,211,320,187,161,396,313,276,219,237
INTS9,103,93,79,112,74,67,119,114,100,114,109
INTU,16,17,28,32,14,7,24,52,31,31,39
INVS,62,67,59,60,54,45,103,92,74,82,62
IP6K1,272,383,258,277,233,200,289,602,250,329,239
IP6K2,390,500,264,325,370,163,532,636,330,379,553
IP6K3,2651,990,1183,1980,3277,1017,1723,1767,893,1021,1852
IPCEF1,2,2,0,0,7,2,2,9,0,10,6
IPMK,41,54,22,61,44,28,92,52,30,67,27
IPO11,241,234,191,373,259,121,340,192,284,178,202
IPO11-LRRC70,0,35,0,26,47,18,81,80,31,36,22
IPO13,3704,2088,2866,3655,2879,1722,4685,2471,3629,2865,2508
IPO4,436,257,376,572,378,237,540,432,443,347,348
IPO5,3818,3384,3014,4994,3771,1869,4781,3651,3465,3312,2868
IPO5P1,6,30,13,9,7,2,23,39,5,21,15
IPO7,3561,2912,2960,5791,3535,1806,5835,3429,3657,2320,3629
IPO8,393,393,286,582,279,195,461,575,337,332,318
IPO9,497,558,482,669,432,331,730,771,550,643,495
IPO9-AS1,2,4,0,1,1,1,4,5,4,3,6
IPP,220,266,180,254,159,139,343,311,188,198,215
IPPK,182,105,98,122,118,69,218,119,155,125,161
IPW,421,173,197,472,334,125,1013,435,570,151,529
IQCA1,4,3,0,0,4,0,2,1,3,14,2
IQCA1L,0,0,0,0,0,0,0,0,0,0,1
IQCB1,80,160,76,76,75,54,138,165,106,116,103
IQCC,19,20,13,15,5,8,22,41,21,12,21
IQCD,0,5,2,2,0,0,1,0,1,3,7
IQCE,158,171,255,106,185,76,149,143,177,145,145
IQCF1,0,0,0,0,0,0,0,0,0,0,0
IQCF2,0,0,0,0,0,0,0,0,0,0,0
IQCF3,0,0,0,0,0,0,0,0,0,0,0
IQCF4,0,0,0,0,0,0,0,0,0,0,0
IQCF5,0,0,0,0,0,0,0,0,0,0,0
IQCF5-AS1,0,0,0,0,0,0,0,0,0,0,0
IQCF6,0,0,0,0,0,0,0,0,0,0,0
IQCG,15,18,15,21,14,8,42,10,32,17,13
IQCH,0,3,4,3,0,2,2,2,0,1,1
IQCH-AS1,173,92,117,265,174,69,271,160,249,180,91
IQCJ,0,0,0,0,0,0,2,0,0,0,0
IQCJ-SCHIP1,22,32,10,35,35,28,35,148,23,48,61
IQCJ-SCHIP1-AS1,0,0,0,0,0,0,0,0,0,0,0
IQCK,52,60,81,94,57,71,89,53,62,102,40
IQGAP1,381,726,581,813,680,413,779,1259,601,1071,774
IQGAP2,12,32,7,22,3,8,29,67,10,43,12
IQGAP3,0,4,1,5,5,0,0,8,2,6,0
IQSEC1,1343,1017,1081,1712,1185,915,2350,1547,1128,1333,1339
IQSEC2,477,202,251,332,312,193,456,218,432,248,349
IQSEC3,46,17,16,31,22,21,17,50,23,127,35
IQUB,0,0,0,4,3,0,0,0,2,0,0
IRAIN,3,0,3,2,2,1,0,7,2,0,1
IRAK1,897,463,738,1009,812,417,1737,445,1117,886,857
IRAK1BP1,20,23,16,37,15,17,17,24,26,8,14
IRAK2,50,30,54,114,59,12,65,67,87,52,75
IRAK3,54,92,48,105,193,73,77,129,40,146,62
IRAK4,41,69,36,57,29,29,78,80,37,68,40
IREB2,545,739,372,694,668,231,1001,880,500,638,521
IRF1,94,160,132,227,360,69,134,358,158,409,155
IRF2,240,354,240,314,210,178,426,472,259,351,288
IRF2BP1,974,757,705,1013,640,514,938,1126,726,711,703
IRF2BP2,1095,2703,1207,2155,4437,1398,2302,3746,1711,2524,1686
IRF2BPL,580,546,960,1223,349,189,542,1415,576,677,365
IRF3,208,228,201,221,190,117,251,308,252,256,238
IRF4,4,9,1,5,0,5,5,6,0,3,5
IRF5,15,28,6,15,1,9,17,22,14,42,24
IRF6,10,19,17,7,48,7,15,46,10,53,30
IRF7,148,191,80,126,187,56,118,432,113,205,157
IRF8,21,49,14,20,6,6,16,60,21,58,14
IRF9,116,175,122,157,127,80,164,303,182,252,169
IRG1,0,0,0,0,0,0,0,0,0,0,0
IRGC,0,0,0,0,0,0,0,0,0,0,0
IRGM,0,0,0,0,0,1,0,0,0,0,0
IRGQ,383,361,306,470,308,170,520,627,366,342,354
IRS1,938,2071,553,975,368,1201,3143,1936,894,1846,729
IRS2,300,718,217,747,919,223,405,1023,277,370,547
IRS4,0,0,0,0,0,0,0,0,0,0,0
IRX1,0,1,4,3,5,0,2,2,3,4,1
IRX2,1,0,2,5,23,0,7,0,1,1,4
IRX3,962,89,28,133,221,6,658,238,418,40,438
IRX4,7,0,4,10,7,0,8,6,9,5,0
IRX5,26,40,25,133,322,0,18,175,11,11,66
IRX6,4,11,12,166,4,1,8,23,48,6,108
ISCA1,1696,1086,1382,2108,1848,765,1775,1043,1771,1218,1270
ISCA2,355,283,396,506,292,188,369,314,422,329,339
ISCU,2807,1801,2873,4543,2225,1666,3826,2396,3456,2295,3302
ISG15,48,82,51,71,45,72,70,119,103,145,77
ISG20,17,9,12,17,17,7,4,23,8,10,13
ISG20L2,136,172,100,120,150,54,153,275,121,115,125
ISL1,0,0,0,0,0,0,0,0,0,0,1
ISL2,0,0,0,0,18,0,0,0,0,2,0
ISLR,341,852,315,467,340,310,907,1338,412,901,412
