Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA5158199,-37.94071801336208,-20.378180004011156,15.142387884388702,16.259769239902027,-4.737525253573298,25.020841412162365,7.042129564578053,-11.68684441697191,-5.497679758129212,2.9516376766966648,-15.82928,-2.0412292,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158200,-58.628792172643884,-12.417523576106158,9.996912284576123,22.678481976847426,-4.721171132948328,23.63523417672803,2.8192956862513263,-5.88542293521766,-0.3266001307052293,0.4034656912007282,-15.37812,-1.1097211,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158201,-60.18826311688448,-10.569337528611769,7.222026669412926,20.166456819279365,-5.554236894682186,25.76106338443387,6.744199447383008,-7.162812699688916,-8.1877601910625,1.0671002417618634,-15.268575,-1.398591,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158202,-53.37970799790054,-12.069503910336353,12.464115501317142,21.339726894774035,-0.44682411861877896,26.675679827847123,9.318588240984749,-8.63018775894341,-1.4375744372732044,3.1791512247056573,-15.50402,-1.43552,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5760401,-21.593687417013328,35.96671472558332,27.49568413438951,-29.00551737977961,-8.429717990388928,-21.453354229809147,41.06814555899004,-6.8305299521786145,-19.881668138450905,-11.89867516322035,-12.958956,5.814441,PRJEB33381,Adult,Male,Unknown,ILLUMINA,Illumina NovaSeq 6000,Liver
SAMEA5760407,-10.598425412780642,28.996697935939263,34.12598405681448,-22.236383311575157,-5.4080071234827365,-19.143032742682877,46.40520864994913,-6.245629364906292,-9.470270366469958,-6.744959873072337,-12.974947,5.852548,PRJEB33381,Adult,Male,Unknown,ILLUMINA,Illumina NovaSeq 6000,Liver
SAMEA5760421,-28.386837200280603,37.06303178390292,23.447209207730968,-25.332071530590756,-4.357068054071055,-26.357106540038416,41.14562343122612,-7.127740627434296,-17.699446693570064,-10.40419140120276,-12.957237,5.90966,PRJEB33381,Adult,Male,Unknown,ILLUMINA,Illumina NovaSeq 6000,Liver
SAMN01915401,-57.58343130962435,27.367236658826727,26.845049586459318,-52.72458038638213,-4.427827037147033,7.032170822666859,-15.757700210751242,37.86605682476603,14.879832928572183,21.714986712750562,-14.415037,2.9554536,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915402,-65.17820283445894,34.90990533607878,20.660702632510546,-57.8761923281137,-1.6188735987157454,13.540922342310347,-6.045861875393324,29.78263260333124,16.80414773550464,28.063251523389635,-14.314975,2.9324906,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915403,-69.78146505104081,26.365062901502597,29.924958879713557,-57.72479491655732,2.791578200923148,21.400375550494704,-25.346646529339928,39.82236623448378,21.649223636719867,12.977727562461588,-14.513878,2.9722269,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915404,-63.81965814179553,27.732669926705018,28.415196085035948,-56.52002419879139,-2.666583381476772,12.283343051986025,-23.25389847809859,38.858833375955086,13.11634599511639,17.760846022735493,-14.412766,3.1641185,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915405,-83.50502731584905,35.234147576189145,23.141791258829173,-59.29016302356595,-2.476946085179714,23.435027564971318,-19.042785803411835,37.33498039183696,16.244186272741484,11.914601974712347,-14.589871,2.7392514,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915406,-57.49136696314085,29.108109575595922,28.612901334546866,-53.39218311764373,1.2098114109371778,5.503010013965694,-24.532899451185095,38.58786420068393,14.561492978742011,19.150192618211857,-14.566215,3.101017,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915407,-76.32544453989672,37.53054970610309,26.43382867255778,-67.10822752897609,3.5681820823215045,25.161690633592812,-26.664246008747593,35.27403762574905,17.85042630210518,12.884451018357476,-14.683028,2.7345927,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915408,-86.79724362253532,29.6525805870238,23.172635090775227,-57.03293490993286,9.80101995279645,25.473364011832608,-33.639610042098546,35.93149646045392,18.551285913934603,4.630058432185585,-14.549512,2.6312265,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915409,-67.88124825934317,37.554149446961155,18.75359456933824,-61.14159510311451,-0.5438272419886275,-4.068379532471545,-12.256282756339107,35.63143826862048,9.145867164340896,22.56317939942929,-14.3038,2.877983,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN01915410,-55.55050554638469,29.87360168170374,28.43418350529411,-66.89566048726935,3.8996761432692737,10.505875713167045,-22.064446727700275,32.656298011824084,16.40567901487461,18.9754627451787,-14.615241,3.077755,PRJNA188941,Pre-pubertal,Unknown,Duroc x (Leicoma x German Landrace),ILLUMINA,Illumina HiSeq 2000,Liver
SAMN02570541,-45.19171944052037,-6.911829990861331,7.827417735419213,-5.36931310089525,-14.928631999332296,-22.735771912455085,-0.06609828610872248,12.679825366360648,-10.59096670486698,6.308787179682494,-13.774083,3.399297,PRJNA234465,Post-pubertal,Female,Songliao black pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN02570542,-38.496352917925954,-11.2764803090382,9.852827933168154,-3.153756156472281,-16.583178699049608,-24.216012193009945,-3.1296128606959512,7.787276357629281,-13.377657642860159,4.4517918916387496,-13.697914,3.4355917,PRJNA234465,Post-pubertal,Female,Songliao black pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN02570543,-40.13772528229005,-9.48414549772685,12.037970376283699,-5.971101504640758,7.731511754576233,-27.2986949652287,-22.102454390778565,-1.3774638244361448,-4.296655880882489,-8.544057864497102,-13.832523,3.6932786,PRJNA234465,Post-pubertal,Female,Songliao black pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN02570544,-49.04593544870802,-3.1501673940813135,8.727527852524302,-11.653202569688204,-11.602573680935198,-26.384137130778193,-12.495474365646098,11.669074916819373,-7.867111546825344,5.945222502601615,-13.91899,3.283891,PRJNA234465,Post-pubertal,Female,Songliao black pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN03142843,-28.316874209520925,-22.01750537135786,25.390355455918094,-3.029454668710246,-18.626388030424415,-8.370916364432516,-1.336807440286863,-2.6122757502525453,-0.20559323509067767,-15.673277781706771,-13.592188,4.384847,PRJNA264829,Post-pubertal,Unknown,Chinese Wuzhishan,ILLUMINA,Illumina HiSeq 2000,Liver
